Área,Número de ítem,Respuesta sugerida,Componente / pensamiento / entorno / factor / enfoque,Competencia
Matemáticas,1,C,Pensamiento aleatorio y sistemas de datos,"Comunicación, representación y modelación"
Matemáticas,2,B,Pensamiento espacial y sistemas geométricos,"Comunicación, representación y modelación"
Matemáticas,3,D,Pensamiento métrico y sistemas de medidas,Planteamiento y resolución de problemas
Matemáticas,4,D,Pensamiento numérico y sistemas numéricos,Razonamiento y argumentación
Matemáticas,5,B,Pensamiento aleatorio y sistemas de datos,Razonamiento y argumentación
Matemáticas,6,B,Pensamiento variacional y sistemas algebraicos y analíticos,"Comunicación, representación y modelación"
Matemáticas,7,C,Pensamiento numérico y sistemas numéricos,Razonamiento y argumentación
Matemáticas,8,C,Pensamiento numérico y sistemas numéricos,Razonamiento y argumentación
Matemáticas,9,C,Pensamiento métrico y sistemas de medidas,Razonamiento y argumentación
Matemáticas,10,C,Pensamiento espacial y sistemas geométricos,Razonamiento y argumentación
Matemáticas,11,D,Pensamiento numérico y sistemas numéricos,Razonamiento y argumentación
Matemáticas,12,D,Pensamiento numérico y sistemas numéricos,Razonamiento y argumentación
Matemáticas,13,C,Pensamiento espacial y sistemas geométricos,Razonamiento y argumentación
Matemáticas,14,B,Pensamiento aleatorio y sistemas de datos,Planteamiento y resolución de problemas
Matemáticas,15,A,Pensamiento aleatorio y sistemas de datos,Planteamiento y resolución de problemas
Matemáticas,16,C,Pensamiento aleatorio y sistemas de datos,Planteamiento y resolución de problemas
Matemáticas,17,D,Pensamiento variacional y sistemas algebraicos y analíticos,"Comunicación, representación y modelación"
Matemáticas,18,C,Pensamiento aleatorio y sistemas de datos,Planteamiento y resolución de problemas
Matemáticas,19,C,Pensamiento métrico y sistemas de medidas,Planteamiento y resolución de problemas
Matemáticas,20,A,Pensamiento variacional y sistemas algebraicos y analíticos,Planteamiento y resolución de problemas
Lenguaje,21,D,Pragmático,Comunicativa lectora - Crítico-intertextual
Lenguaje,22,A,Semántico,Comunicativa lectora - Inferencial
Lenguaje,23,C,Semántico,Comunicativa lectora - Inferencial
Lenguaje,24,D,Pragmático,Comunicativa lectora - Crítico-intertextual
Lenguaje,25,D,Pragmático,Comunicativa lectora - Inferencial
Lenguaje,26,C,Pragmático,Comunicativa lectora - Inferencial
Lenguaje,27,C,Pragmático,Comunicativa lectora - Crítico-intertextual
Lenguaje,28,C,Semántico,Comunicativa lectora - Inferencial
